,0
Geraldo Borges,9
Gerard Jones,32
Gerard Way,0
Gerardo Sandoval,63
Gerardo Zaffino,5
Germán García,2
Germán Peralta,52
Gerry Conway,548
Gerry Duggan,249
Giancarlo Caracuzzo,2
Gianluca Gugliotta,4
Giannis Milogiannis,0
Giannis Milonogiannis,0
Gilles Wheeler,0
Gino DiCicco,0
Giorgio Cavazzano,1
Giorgio Lavagna,1
Giovanni Valletta,1
Giuseppe Camuncoli,67
Glen A. Larson,0
Glen Berger,0
Glenn Dakin,13
Glenn Fabry,11
Glenn Greenberg,25
Glenn Herdling,104
Glenn Leopold,0
Gloria Katz,0
Glynis Oliver,1
Goran Parlov,13
Goran Sudzuka,11
Gordon Kent,0
Gordon Purcell,4
Grace Freud,8
Grace Randolph,0
Gracine Tanaka,0
Graham Higgins,0
Graham Marks,16
Graham Nolan,7
Grant Calof,0
Grant Miehm,16
Grant Moran,0
Grant Morrison,117
Grant Nelson,0
Grant Simmons,0
Gray Morrow,3
Greg Adams,4
Greg Blair,0
Greg Capullo,23
Greg Hildebrandt,0
Greg Horn,2
Greg Johnson,0
Greg Keyes,0
Greg Land,79
Greg LaRocque,89
Greg Luzniak,8
Greg Pak,359
Greg Rucka,72
Greg Scott,2
Greg Smallwood,9
Greg Titus,5
Greg Tocchini,9
Greg Weisman,13
Gregg Hurwitz,4
Gregg Schigiel,3
Gregory Homs,4
Gregory S. Dinallo,0
Gregory Wright,105
Gretchen Enders,0
Gretel Lusky,0
Griffin McElroy,4
Griptonite Games,0
Guang Yap,4
Guido Guidi,0
Guillermo Mogorron,4
Guillermo Sanna Bauza,13
Guiu Vilanova,14
Gurihiru,13
Guru-eFX,0
Gus Hetman,7
Gus Ricca,3
Gus Vazquez,16
Gustav Schrotter,40
Gustavo Duarte,0
Guy Davis,7
Guy Dorian,2
Gwen Dibley,0
Gérald Forton,0
H. Rider Haggard,0
H.E. Edgmon,1
H.G. Wells,0
Hachi Mizuno,0
Hack Shack Studios,0
Haden Blackman,3
Hajime Isayama,0
Hal Sharp,3
Halima Lucas,0
Hank Kanalz,0
Hannah Blumenreich,2
Hannah MacLeod,0
Hans Rodionoff,1
Harlan Ellison,14
Harold De Lay,2
Harold DeLay,2
Harrison Wilcox,5
Harry Anderson,2
Harry Bates,0
Harry Douglas,6
Harry Fisk,3
Harry Fraser,0
Harry Lazarus,10
Harry Ramsey,2
Harry Sahle,54
Harvey Tolibao,30
Hawk Ostby,0
Hazel Heald,1
Heather Antos,0
Heather Quinn,0
Hector Collazo,4
Hector Sevilla Lujan,0
Heitor Oliveira,4
Helen Chen,0
Helen Sugland,0
Helena Blavatsky,0
Henry Abrams,0
Henry Candelario,0
Henry Flint,0
Henry Gilroy,0
Henry Kuttner,1
Henry Leo Fraction-DeConnick,1
Henry Martinez,18
Henry P. Chapman,45
Herbert J. Martin,1
Herbert Trimpe,276
Herman Melville,0
Hideki Hiroshima,0
Hideo Takayashiki,0
Hikaru Uesugi,0
Hilary Barta,2
"Hilly Hicks, Jr.",0
Hiroshi Hamasaki,0
Hoang Nguyen,6
Hollis Bright,13
Homer,2
Horacio Domingues,1
Howard Bender,0
Howard Chaykin,116
Howard James,4
Howard Mackie,335
Howard O'Donnell,2
Howard Phillips Lovecraft,30
Howard Porter,3
Howard Purcell,5
Howard Simpson,0
Howard Wong,0
Hugh Haynes,36
Humberto Ramos,131
Hy Rosen,4
Héctor Gómez,0
Ian Akin,0
Ian Boothby,0
Ian Churchill,31
Ian Edginton,28
Ian Fleming,1
Ian Gibson,2
Ian Rimmer,1
Iban Coello,11
Ibrahim Moustafa,7
Ibraim Roberson,8
Iden Baghdadchi,0
Ig Guara,8
Ignacio Calero,4
Igor Kordey,66
InHyuk Lee,0
Iolanda Zanfardino,1
Ira Turek,0
Irene Koh,0
Irene Strychalski,1
Irene Y. Lee,0
Irving Werstein,3
Irwin Hasen,7
Irwin Shapiro,0
Isaac Cordova,2
Isaac M. del Rivero,1
Ishinomori Shotaro,0
Itai Grunfeld,0
Ivan Allen,2
Ivan Brandon,4
Ivan Fiorelli,5
Ivan Raimi,0
Ivan Reis,15
Ivan Rodriguez,7
"Ivan Velez, Jr.",35
J. Michael Straczynski,121
J. Scott Campbell,0
J. Tom Pogue,0
J. Torres,1
J.G. Jones,12
J.H. Williams III,0
J.J. Abrams,0
J.J. Birch,14
J.J. Kirby,0
J.K. Woodward,1
J.L. Giles,1
J.M. DeMatteis,327
J.T. Krul,3
Jac Schaeffer,0
Jacen Burrows,26
Jack Abel,2
Jack Alderman,19
Jack Binder,16
Jack D'Arcy,6
Jack Davis,5
Jack Hanrahan,0
Jack Harris,20
Jack Katz,1
Jack Keller,61
Jack Kirby,1194
Jack Mendelsohn,0
Jack Ross,0
Jack Sholder,0
Jack Sparling,5
Jackson Guice,117
Jackson Lanzing,9
Jacob Chabot,51
Jacob Pander,0
Jacob Rougemont,16
Jacob Semahn,0
Jacopo Camagni,15
Jacqueline Gailes,0
Jae Lee,59
Jae Tsai,0
Jae Woo Kim,0
Jahnoy Lindsay,0
Jai Nitz,1
Jaime Gomez,7
Jake Bilbao,2
Jake Parker,4
Jake Wyatt,0
Jamal Igle,1
James Asmus,36
James Blackburn,2
James Brock,10
James C. Oliver,0
James Calafiore,15
James Califiore,1
James Callahan,2
James Cawthorn,8
James Cordeiro,0
James D. Parriott,0
James Daly,0
James Felder,16
James Fenimore Cooper,0
James Fry,58
James G. Hirsch,0
James Gifford,0
James Gunn,0
James Harren,0
James Hilton,0
James Hudnall,32
James Krieg,0
James Leach,0
James Malcolm Rymer,1
James Mangold,0
James Monroe Iglehart,2
James Mullaney,3
James Palmiotti,7
James Peatty,0
James Peaty,0
James Raiz,0
James Robinson,91
James Rose,1
James Sanders III,1
James Schamus,0
James Stokoe,0
James Sturm,0
James Tynion IV,1
James Vanderbilt,0
Jamie Delano,26
Jamie King,0
Jamie McKelvie,16
Jamie Mendoza,0
Jamie Tolagson,7
Jan Bazaldua,27
Jan Duursema,15
Jan Strnad,6
Jan,0
Jane Austen,0
Jane Goldman,0
Janet Gari,0
Jaron Summers,0
Jason Aaron,382
Jason Armstrong,1
Jason Brett,0
Jason Copland,0
Jason Craig,3
Jason Harvey,0
Jason Henderson,9
Jason Holtham,2
Jason Horwitch,0
Jason Keith,0
Jason Latour,19
Jason Lazarcheck,0
Jason Lethcoe,1
Jason Loo,5
Jason Mantzoukas,1
Jason Masters,8
Jason Miller,2
Jason Muhr,5
Jason Pearson,8
Jason Quinn,0
Jason Shawn Alexander,0
Jason Starr,0
Jason Trent Pearson,0
Javier Fernandez,2
Javier Garrón,27
Javier Grillo-Marxuach,15
Javier Mena Guerrero,0
Javier Pina,13
Javier Pulido,34
Javier Rodríguez,69
Javier Saltares,94
Jay Anacleto,4
Jay Faerber,47
Jay Fletcher,1
Jay Fosgitt,3
Jay Hawk,2
Jay Scott Pike,16
Jean Thomas,11
Jean-David Morvan,2
Jean-Marc Lofficier,24
Jed MacKay,72
Jed Whedon,0
Jeevan Kang,0
Jeff Albrecht,0
Jeff Allen,0
Jeff Anderson,0
Jeff Butler,1
Jeff Christiansen,87
Jeff Grubb,1
Jeff Houde,0
Jeff Jensen,27
Jeff Johnson,30
Jeff King,3
Jeff Lafferty,0
Jeff Lemire,40
Jeff Loveness,20
Jeff Matsuda,13
Jeff Moore,3
Jeff Palmer,0
Jeff Parker,153
Jeff Pinkner,0
Jeff Purves,17
Jeff Rebner,0
Jeff Saylor,0
Jeff Scott,0
Jeff Smith,0
Jeff Wamester,0
Jeffrey Bell,0
Jeffrey Cruz,0
Jeffrey M. Howard,0
Jeffrey Moore,1
Jeffrey Scott,0
Jefte Palo,54
Jen Bartel,0
Jen Soska,2
Jen Van Meter,21
Jenna McGrath,0
Jenna Reback,0
Jennifer Kaytin Robinson,0
Jennifer Muro,0
Jenny Klein,0
Jenny Lynn,0
Jeph Loeb,136
Jeph York,13
Jerad S. Marantz,0
Jeremy Adams,0
Jeremy Haun,1
Jeremy Holt,0
Jeremy Slater,0
Jeremy Treece,0
Jeremy Whitley,32
Jerome Moore,1
Jerome Opeña,29
Jerry Bingham,20
Jerry Epperson,1
Jerry Novick,1
Jerry Ordway,45
Jerry Paris,2
Jerry Robinson,9
Jerry Siegel,9
Jerry Siegle,0
Jess Harrold,5
Jess Jodloman,5
Jess Winfield,0
Jesse Alexander,1
Jesse Bochco,0
Jesse Duffy,0
Jesse Falcon,0
Jessica Gao,0
Jesus Blasco,1
Jesus Redondo,1
Jesus Saiz,0
Jesús Manuel Peña Rego,2
Jesús Merino,0
Jesús Saíz,25
Jethro Morales,0
Jheremy Raapack,2
Jiehae Park,0
Jill Sherman,0
Jim Alexander,0
Jim Amash,0
Jim Balent,0
Jim Butcher,0
Jim Callahan,0
Jim Campolongo,0
Jim Carlson,0
Jim Cheung,86
Jim Craig,16
Jim Dunn,0
Jim Fern,7
Jim Fletcher,5
Jim Hall,0
Jim Janes,1
Jim Krueger,15
Jim Lawrence,9
Jim Lee,142
Jim Mahfood,10
Jim McCann,29
Jim McLaughlin,1
Jim Mooney,95
Jim Muniz,6
Jim Newsome,0
Jim Reddington,2
Jim Salicrup,2
Jim Sherman,1
Jim Shooter,114
Jim Siergey,0
Jim Starlin,221
Jim Steranko,29
Jim Tisdale,0
Jim Towe,1
Jim Valentino,41
Jim Warden,0
Jim Zub,67
Jimmy James,2
Jimmy Palmiotti,57
Jimmy Thompson,58
Jo Chen,0
Joanna Estep,2
Jocelyn Baxter,0
Jock,0
Jodi Nishijima,5
Jody Houser,4
Joe Ahearne,1
Joe Albelo,0
Joe Bennet,2
Joe Bennett,95
Joe Brozowski,7
Joe Cal Cagno,14
Joe Caramagna,5
Joe Casey,102
Joe Chiodo,6
Joe Cornish,0
Joe Edkin,8
Joe Fallon,0
Joe Fonteriz,2
Joe Gill,13
Joe Johnson,0
Joe Johnston,0
Joe Jusko,1
Joe Keatinge,10
Joe Kelly,97
Joe Kubert,10
Joe Madureira,57
Joe Maneely,95
Joe Meno,7
Joe Millard,1
Joe Moore,0
Joe Orlando,8
Joe Phillips,3
Joe Pokaski,4
Joe Pruett,11
Joe Quesada,84
Joe Quinones,33
Joe R. Lansdale,2
Joe Robert Cole,0
Joe Rubinstein,1
Joe Russo,0
Joe Simon,162
Joe Sinnott,96
Joe St. Pierre,1
Joe Staton,12
Joe Suitor,1
Joe Vriens,12
Joel Don Humphreys,0
Joel Thomas,0
Joel Zulueta,1
Joelle Jones,0
Joelle Sellner,0
Joey Cavalieri,30
Joey Vazquez,12
John Albano,2
John Arcudi,15
John Barber,11
John Beatty,2
John Bogdanove,7
John Bolton,23
John Boni,0
John Bridges,4
John Burns,5
John Buscema,726
John Byrne,608
John C. Kelley,0
John Calimee,10
John Caponigro,2
John Carnell,0
John Cassaday,38
John Cerilli,7
John Charles,0
John Cleary,0
John Compton,2
John Costanza,0
John Czop,1
John Dell,0
John Dennis,0
John DeVore,0
John Dokes,2
John Estes,2
John Fang,0
John Figueroa,20
John Forte,12
John Francis Daley,0
John Francis Moore,90
John Freeman,27
John Gibbs,0
John Giunta,1
John H. Compton,2
John Haward,0
John Hebert,14
John Heebink,6
John Higgins,4
John Hixson,1
John Jackson Miller,11
John Jakes,5
John K. Snyder III,0
John Layman,33
John Lewandowski,0
John Loy,0
John Lucas,1
John McCrea,23
John Morelli,6
John Mould,0
John Ney Rieber,13
John Norwood Fago,0
John Nyberg,1
John Ostrander,75
John Paul Leon,20
John Raymond,0
John Rhett Thomas,8
John Ridgway,18
John Ridley,11
John Romita Jr.,391
John Romita Sr.,128
John Ross,2
John Royle,14
John Rozum,3
John Semper,0
John Severin,34
John Shirley,0
John Smith,3
John Stafford,0
John Stanisci,9
John Statema,10
John Stokes,9
John Stuart,0
John Tartaglione,4
John Timms,2
John Tomlinson,32
John Totleben,2
John Turman,0
John Van Fleet,7
John Verpoorten,4
John W. Bloch,0
John Wagner,5
John Warner,43
John Watkiss,5
John Wellington,7
John Wilburn,1
John William Polidori,3
John Wyndham,0
John Zurhellen,0
John Zuur Platten,0
Johnny Craig,12
Johnny Greene,0
Johnny Ryan,0
Johnny Timmons,1
Jon Adams,0
Jon Babcock,1
Jon Bogdanove,28
Jon Buran,0
Jon D’agostino,0
Jon Favreau,0
Jon Gutierrez,0
Jon Haward,0
Jon J. Muth,5
Jon Lam,0
Jon Malin,2
Jon Paquette,0
Jon Peterson,0
Jon Proctor,2
Jon Sommariva,0
Jon Spaihts,0
Jon Stateman,0
Jon Watts,0
Jon Worley,0
Jonas Scharf,4
Jonathan Adams,0
Jonathan Bach,0
Jonathan Couper-Smartt,0
Jonathan Danforth-Appell,0
Jonathan Goldstein,0
Jonathan Hensleigh,0
Jonathan Hickman,266
Jonathan Igla,0
Jonathan Lethem,0
Jonathan Luna,1
Jonathan Maberry,39
Jonathan Marks,5
Jonathan Swift,0
Jonboy Meyers,1
Jordan Blum,5
Jordan D. White,0
Jordan Ifueko,10
Jordan Peterson,0
Jordan Roberts,0
Jordi Alfonso,0
Jordie Bellaire,1
Jorge Coelho,0
Jorge Fornes,5
Jorge Gonzales,28
Jorge Lucas,46
Jorge Molina,25
Jorge Santamaria,3
Jorge Zaffino,16
Jose Delbo,32
Jose Molina,9
Jose Pimentel,3
Josef Rubinstein,3
Joseph Barbera,0
Joseph Dodd,2
Joseph Goodrich,3
Joseph Harris,17
Joseph John Barney,0
Joseph Linsner,1
Joseph Poland,0
Joseph Russo,0
Joseph Silva,3
Joseph Torres,0
Josh Boone,0
Josh Gordon,0
Josh Haber,0
Josh Herman,0
Josh Hood,1
Josh Nizzi,0
Josh Ray,0
Josh Schwartz,0
Josh Sky,0
Josh Trank,0
Josh Trujillo,7
Josh Williamson,2
Joshua Cassara,18
Joshua Corin,7
Joshua Fine,0
Joshua Hale Fialkov,14
Joshua James Shaw,5
Joshua Luna,1
Joshua Middleton,15
Joshua Ortega,3
Joshua Sky,0
Joshua Williamson,1
Joss Whedon,40
José Carlos Silva,1
José Ladrönn,28
José Luis Durán,0
José Luis García-López,1
José Marzan Jr.,1
Joy Kecken,0
Joyce Chin,7
João Lemos,0
Joëlle Jones,0
Juan Alacantara,2
Juan Bobillo,71
Juan Cabal,24
Juan Cano,0
Juan Doe,11
Juan Ferreyra,15
Juan Frigeri,15
Juan Gedeon,1
Juan Jose Ryp,8
Juan M. Frigeri,1
Juan Ponce,0
Juan Román Cano,4
Juan Samu,0
Juan Santacruz,3
Juanan Ramírez,10
Judd Winick,0
Judith Hunt,1
Judith O'Brien,0
Judy Bogdanove,1
Jules Dennis,0
Jules Verne,0
Julia Jane Lewald,0
Julia Lewald,0
Julian Lopez,2
Julian Shaw,1
Julian Tedesco,0
Julian Totino Tedesco,0
Julianne Klemm,0
Julie Huffman,0
Julie Taymor,0
Julien Magnat,0
Julius Ohta,1
June Brigman,48
June Patterson,0
Juni Ba,2
Justin Aclin,0
Justin Gray,28
Justin Jordan,6
Justin Mason,0
Justin McElroy,4
Justin Sloan,0
Justin Theroux,0
Justin Thyme,0
Justiniano,0
Juvaun J. Kirby,0
K.H. Kanalz,1
Kaare Kyle Andrews,19
Kabam,0
Kalinda Vazquez,5
Kalman Andrasofszky,3
Kano,6
Kara Brown,0
Karama Horne,1
Karen Harris,0
Karen Milovich,0
Karen S. Darboe,1
Karl Bollers,57
"Karl Heitmueller, Jr.",0
Karl Kerschl,25
Karl Kesel,96
Karl Moline,5
Karl Rusnak,0
Karl Story,2
Karl Waller,0
Karla Pacheco,16
Kasper Hartman,0
Kat Coiro,0
Kate Brown,1
Kate Gritmon,0
Kate Kondell,0
Kate Leth,11
Kate Niemczyk,21
Kate Rorick,0
Katherine Lawrence,0
Kathryn Immonen,17
Kathryn Kuder,0
Katie Cook,0
Katrina Mathewson,0
Kaz Firpo,0
Kazuki Takahashi,0
Keaton Patti,0
Kei Kobayashi,0
Kei Zama,10
Keith Champagne,2
Keith Giffen,97
Keith Laumer,0
Keith P. Aiken,1
Keith Pollard,189
Keith R.A. DeCandido,6
Keith Williams,5
Keith Wilson,0
Kelley Jones,20
Kelly Corvese,4
Kelly Krantz,7
Kelly Marcel,0
Kelly Sue DeConnick,56
Kelly Thompson,86
Kelsey Beachum,0
Kelsey Shannon,1
Ken Bald,55
Ken Cunningham,0
Ken Kristensen,0
Ken Lashley,38
Ken Levine,0
Ken McDonald,5
Ken Niimura,0
Ken Ogino,0
Ken Pontac,0
Ken Siu-Chong,2
Ken Steacy,10
Kendall Rogers,0
Kengo Kaji,0
Kenneth Johnson,0
Kenneth Kolb,0
Kenneth Rocafort,8
Kenny Martinez,1
Kent Williams,6
Kenta Fukasaku,0
Kermit Jaediker,3
Keron Grant,23
Kerry Gammill,43
Keu Cha,2
Kevin Bolk,0
Kevin Burke,0
Kevin Cannon,0
Kevin Conrad,0
Kevin Garcia,12
Kevin Grevioux,47
Kevin Gunstone,0
Kevin Hopgood,20
Kevin Hopps,0
Kevin J. Anderson,2
Kevin Kobasic,11
Kevin Lau,5
Kevin Libranda,12
Kevin Maguire,20
Kevin Maurer,3
Kevin Nowlan,6
Kevin Rock,0
Kevin Sharpe,74
Kevin Shinick,9
Kevin Smith,17
Kevin Sutherland,1
Kevin Tancharoen,0
Kevin VanHook,1
Kevin Walker,56
Kevin West,9
Khari Evans,22
Khary Randolph,22
Khato,0
Khoi Pham,27
Kia Asamiya,3
Kieron Dwyer,41
Kieron Gillen,161
Killian Plunkett,0
Kim Jacinto,9
Kim Johnson,2
Kimberly Senior,0
Kin Platt,1
King Ryū,0
King Ward,2
Kirk A. Moore,0
Kirk Jarvinen,6
Kirk van Wormer,2
Kirkowood Studios,0
Kirsten Lepore,0
Kirsten Sinclair,0
Kit Pearson,6
Kitty Fross,0
Kitty Richards,0
Klaus Janson,73
Klaus Nordling,3
Klebs Jr.,0
Kody Chamberlain,18
Kohei Ota,0
Koi Turnball,21
Kolfax Mingo,0
Konami,0
Kris Anka,25
Kris Justice,0
Kris Renkewitz,4
Kristian Donaldson,1
Kurt Braunohler,0
Kurt Busiek,381
Kyle Baker,27
Kyle Bradstreet,0
Kyle Charles,3
Kyle Higgins,8
Kyle Hotz,34
Kyle Sims,0
Kyle Starks,0
Kyle Strahm,0
Kōichi Takemoto,0
L. Bing,1
L. Daniel LaBrune,0
L. Frank Baum,0
L. Sprague de Camp,43
Lalit Kumar Sharma,14
Lan Medina,40
Lance Tooks,0
Langdon Foss,5
Lanna Souvanny,0
Larry Alexander,25
Larry Antonette,9
Larry Brody,0
Larry Dixon,1
Larry Hama,227
Larry Houston,0
Larry Ivie,3
Larry Lieber,228
Larry Niven,0
Larry Parr,0
Larry Stroman,27
Larry Woromay,2
Larry Yakata,6
Laura Braga,8
Laura Donney,0
Laurell K. Hamilton,0
Lauren LeFranc,0
Lauren Schmidt Hissrich,0
Lauren Sodja Otero,0
Laurence Campbell,1
Laurenn McCubbin,1
Laurie Sutton,0
Lawrence Block,0
Lawrence Brown,0
Lawrence Watt-Evans,3
Lea Hernandez,0
Leah Williams,12
Leandro Fernández,20
Lee Allred,0
Lee Bermejo,0
Lee Black,0
Lee Elias,22
Lee Ferguson,10
Lee Garbett,33
Lee Moder,6
Lee Stevens,12
Lee Weeks,78
Leinil Francis Yu,116
Len Kaminski,196
Len Strazewski,1
Len Uhley,0
Len Wein,228
Lenard McKelvey,1
Lennie Herman,3
Leo Duranona,0
Leo Riley,0
Leon Lazarus,3
Leonard Carpenter,1
Leonard Kirk,84
Leonardo Manco,56
Leonardo Romero,27
Leonel Castellani,0
Lester Dent,14
LeUyen Pham,0
Lew Stringer,0
Lewaa Nasserdeen,0
Lewis LaRosa,9
Liam Sharp,45
Lilah Sturges,0
Lilla Zuckerman,0
Lin Carter,67
Lin Streeter,10
Linda Fite,7
Linda Grant,2
Linda Karas,0
Linda Lee Karas,0
Lindsey Allen,0
Lionel E. Siegel,0
Lisa Hawkins,0
Lisa Muse Bryant,0
Lisa Randolph,0
Lissa Treiman,0
Liz Friedman,0
Liz Hara,0
Liza Palmer,0
LJN,0
Lloyd Jacquet,0
Locke,0
Logan Faerber,0
Logan Lubera,0
Lombardia,1
Long Vo,0
Lonnie Nadler,24
Lorenzo Susi,1
Lou Ferstadt,2
Lou Harrison,1
Lou Kang,0
Lou Mougin,7
Louis Cazeneuve,7
Louis D'Esposito,0
Louis Ferstadt,3
Louis Ravielli,2
Louis Williams,8
Louise Jones,4
Louise Simonson,240
Lovern Kindzierski,6
Luca Hakkarainen,0
Luca Maresca,8
Luca Pizzari,8
Lucas Hazlett,0
Lucas Werneck,9
Luciano Lima,1
Luciano Vecchio,11
Lucio Parrillo,0
Luigi Zagaria,2
Luke Kalteux,0
Luke McDonnell,49
Luke Ross,69
Lysa Hawkins,0
M. Raven Metzner,0
M.A. Sepulveda,0
M.C. Wyman,57
Mac Pakula,3
Mac Raboy,1
Mackenzi Lee,0
MacKenzie Cadenhead,1
Mackenzie Dohr,0
Maddie Blaustein,1
Madison Carter,80
Mae Catt,0
Magdalene Visaggio,1
Maggie Thompson,0
Mahmud Asrar,64
Mairghread Scott,0
Makoto Koyama,0
Makoto Nakatsuka,0
Makoto Shibata,0
Malcolm Davis,1
Malcolm Kildale,1
Malcolm Spellman,0
Mallory Rosenthal,0
Man of Action,0
Manly Wade Wellman,1
Mannie Banks,2
Manny Clark,0
Manny Galan,4
Manny Mederos,1
Manny Stallman,2
Manuel Garcia,45
Manuel Gutierrez,7
Manuela Razzi,0
Many Hands,1
Marat Mychaels,6
Marc Andreyko,10
Marc Bernardin,5
Marc Borstel,2
Marc Campos,3
Marc Cerasini,1
Marc Guggenheim,132
Marc Jobst,0
Marc Laming,9
Marc Silvestri,103
Marc Siry,1
Marc Sumerak,11
Marc Turndorf,0
Marc Webb,0
Marc-Oliver Frisch,3
Marcelo Dichiara,0
Marcelo Ferreira,20
Marcelo Frusin,1
Marcie Ulin,0
Marcio Fiorito,0
Marcio Menyz,0
Marcio Takara,17
Marco Castiello,10
Marco Checchetto,47
Marco Failla,31
Marco Ramirez,0
Marco Rudy,4
Marco Santucci,3
Marco Turini,0
Marcos Martín,42
Marcos Tetelli,0
Marcus J. Guillory,0
Marcus McLaurin,40
Marcus To,37
Marek Walton,0
Margaret Clark,23
Margaret Dunlap,0
Margaret Stohl,24
Margarita Vaisman,0
Margot Blankier,0
Marguerite Bennett,6
Marguerite Sauvage,6
Maria Lapham,1
Maria-Emiko Macuaga,1
Mariano Nicieza,5
Marie DeMarco,1
Marie Javins,1
Marie Severin,92
Marika Cresta,0
Mariko Tamaki,25
Mario Alberti,6
Mario Del Pennino,1
Mario DeMarco,2
Mario Guevara,0
Mario Gully,4
Maris Wicks,0
Marjorie Liu,22
Mark Andreyko,2
Mark Armstrong,0
Mark Badger,6
Mark Bagley,320
Mark Banker,0
Mark Basso,0
Mark Beachum,14
Mark Bernardo,11
Mark Bomback,0
Mark Braun,0
Mark Bright,64
Mark Brooks,25
Mark Buckingham,22
Mark Edward Edens,0
Mark Evanier,2
Mark Farmer,27
Mark Fergus,0
Mark Frost,0
Mark Gruenwald,437
Mark Heike,0
Mark Henry,0
Mark Hester,0
Mark Hoffmeier,0
Mark Leitner,0
Mark Lerer,8
Mark Linehan Bruner,0
Mark McKenna,1
Mark Millar,62
Mark Miraglia,0
Mark Morales,4
Mark Moretti,1
Mark Nelson,2
Mark O'English,22
Mark Onspaugh,0
Mark Pacella,16
Mark Pajarillo,4
Mark Paniccia,2
Mark Parsons,0
Mark Pennington,0
Mark Protosevich,0
Mark Ricketts,3
Mark Robinson,8
Mark Runyan,2
Mark Russell,1
Mark Sable,0
Mark Schorer,2
Mark Schultz,1
Mark Simmons,0
Mark Steven Johnson,0
Mark Tenney,5
Mark Tenny,0
Mark Texeira,84
Mark Texiera,3
Mark Twain,0
Mark Verheiden,0
Mark Waid,262
Mark Walters,0
Marko Djurdjevic,4
Markus Ettinger,2
Markus Raymond,14
Marley Clark,0
Marly Halpern-Graser,0
Marsha F. Griffin,0
Marsha Griffin,0
Marshall Rogers,24
Marte Gracia,0
Martha Moran,0
Martha Thomases,8
Martin A. Burnstein,8
Martin Chaplin,0
Martin Coccolo,12
Martin Egeland,3
Martin Nodell,3
Martin Rosenthall,2
Martin Signore,0
Martin Simmonds,1
Marty Isenberg,0
Marv Wolfman,497
Mary Bierbaum,1
Mary Choi,1
Mary Jo Duffy,99
Mary Mintzer,0
Mary Mitchell,2
Mary Shelley,12
Mary Skrenes,13
Mary Wilshire,8
Mat Broome,7
Mathew Hyde,1
Matt Baker,3
Matt Camp,0
Matt Cherniss,10
Matt Davidson,0
Matt Fox,0
Matt Fraction,285
Matt Haley,4
Matt Hastings,0
Matt Hollingsworth,0
Matt Holloway,0
Matt Horak,97
Matt Idelson,2
Matt Kindt,19
Matt Nix,0
Matt Nixon,3
Matt Owens,3
Matt Ryan,0
Matt Sazama,0
Matt Selman,2
Matt Smith,3
Matt Soell,0
Matt Southworth,0
Matt Wagner,0
Matt Wayne,0
Matt Webb,0
Matt Yocum,2
Matteo Borghese,0
Matteo Buffagni,20
Matteo Casali,0
Matteo Lolli,35
Matteo Scalera,5
Matthew Chauncey,0
Matthew Clark,9
Matthew Garcia-Dunn,0
Matthew J. Powers,0
Matthew Jorgensen,0
Matthew K. Manning,0
Matthew Lopes,0
Matthew Marsilia,0
Matthew Morra,1
Matthew Orton,0
Matthew Rhoades,0
Matthew Roades,0
Matthew Rosenberg,71
Matthew Southworth,5
Matthew Vaughn,0
Mattia De Iulis,18
Maurene Goo,4
Maurice Del Bourgo,3
Maurice Gutwirth,7
Maurissa Tancharoen,0
Mauro Belfiore,0
Mauro Vargas,0
Max Bemis,29
Max Douglas,2
Max Dunbar,4
Max Dweck,0
Max Fiumara,5
Maxwell Stockbridge,1
Meera Menon,0
Meg LeFauve,0
Meg McLaughlin,0
Megan McDonnell,0
Megan Wilson,0
Melissa Edwards,0
Melissa Hunter,0
Melissa Rosenberg,0
Melville Henry,3
Melvin Rubi,17
Meredith Finch,0
Meredith Lavender,0
Merrill Hagan,0
Method Man,1
Micah Gunnell,0
Micah Schraft,0
Michael Avon Oeming,30
Michael Bair,25
Michael Bennent,14
Michael Breault,0
Michael Broussard,0
Michael Carlin,46
Michael Chabon,0
Michael Cho,0
Michael D. Allred,136
Michael Del Mundo,26
Michael Dialynas,1
Michael Docherty,39
Michael Dougherty,0
Michael Dowling,3
Michael Edens,0
Michael Eury,11
Michael Fleisher,89
Michael Fong,0
Michael France,0
Michael Gallagher,3
Michael Gaydos,60
Michael Giacchino,0
Michael Golden,35
Michael Green,0
Michael Higgins,28
Michael Horwitz,0
Michael Hoskin,103
Michael Humes,0
Michael Jan Friedman,2
Michael Jones-Morales,0
Michael Kastelein,0
Michael Kupperman,37
Michael Lark,16
Michael Lopez,4
Michael Merton,0
Michael Moorcock,11
Michael Moreci,0
Michael Nasser,1
Michael O'Hare,6
Michael Ploog,80
Michael R. Gerard,0
Michael Reaves,0
Michael Resnick,0
Michael Ryan,94
Michael Shelfer,2
Michael Siporin,0
Michael Spicer,11
Michael Stewart,2
Michael Suayan,6
Michael T. Gilbert,3
Michael Thomas,3
Michael Vukadinovich,0
Michael Waldron,0
Michael Walsh,13
Michael YG,2
Michael Zeck,127
Michael Zulli,6
Michal Dutkiewicz,1
Michel Fiffe,0
Michel Gariepy,2
Michel Lacombe,0
Michele Bandini,14
Michele Fazekas,1
Michele Medda,0
Michi Fujimoto,0
Mick Anglo,0
Mick Austin,2
Mick Bertilorenzi,2
Mick Gray,0
Mickey Spillane,8
Migdia Skarsgård Chinea,0
Migdia Varela,0
Mighty Bullpen,1
Miguel Ferrer,6
Miguel Jiron,0
Miguel Munera,4
Miguel Ángel Sepúlveda,80
Mike Baron,130
