id,parent,child
01961,Formerly Deceased,/wiki/Phoebe_Cuckoo_(Earth-616)
01962,Americans,/wiki/Phoebe_Cuckoo_(Earth-616)
01963,Phoenix Force,/wiki/Phoebe_Cuckoo_(Earth-616)
01964,Possession,/wiki/Phoebe_Cuckoo_(Earth-616)
01965,Astral Projection,/wiki/Phoebe_Cuckoo_(Earth-616)
01966,Mind Control,/wiki/Phoebe_Cuckoo_(Earth-616)
01967,Invulnerability,/wiki/Phoebe_Cuckoo_(Earth-616)
01968,Telepathic Immunity,/wiki/Phoebe_Cuckoo_(Earth-616)
01969,Stan Lee/Creator,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01970,Jack Kirby/Creator,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01971,Formerly Deceased,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01972,Armor Users,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01973,Force Field,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01974,Characters Displaced to Earth-616,/wiki/Nathaniel_Richards_(Kang)_(Earth-6311)
01975,Stan Lee/Creator,/wiki/Dirk_Garthwaite_(Earth-616)
01976,Jack Kirby/Creator,/wiki/Dirk_Garthwaite_(Earth-616)
01977,Americans,/wiki/Dirk_Garthwaite_(Earth-616)
01978,Mercenaries,/wiki/Dirk_Garthwaite_(Earth-616)
01979,Bulletproof,/wiki/Dirk_Garthwaite_(Earth-616)
01980,Stan Lee/Creator,/wiki/Karen_Page_(Earth-616)
01981,Americans,/wiki/Karen_Page_(Earth-616)
01982,Formerly Deceased,/wiki/Ultron_(Earth-616)
01983,Flight,/wiki/Ultron_(Earth-616)
01984,Plasma Generation,/wiki/Ultron_(Earth-616)
01985,Energy Absorption,/wiki/Ultron_(Earth-616)
01986,Size Alteration,/wiki/Ultron_(Earth-616)
01987,Brotherhood of Evil Mutants (Earth-616)/Members,/wiki/Mortimer_Toynbee_(Earth-616)
01988,X-Men (Earth-616)/Members,/wiki/Mortimer_Toynbee_(Earth-616)
01989,Mutants (Homo superior),/wiki/Mortimer_Toynbee_(Earth-616)
01990,Stan Lee/Creator,/wiki/Mortimer_Toynbee_(Earth-616)
01991,Jack Kirby/Creator,/wiki/Mortimer_Toynbee_(Earth-616)
01992,Formerly Deceased,/wiki/Mortimer_Toynbee_(Earth-616)
01993,Americans,/wiki/Mortimer_Toynbee_(Earth-616)
01994,Leaping,/wiki/Mortimer_Toynbee_(Earth-616)
01995,Mind Control,/wiki/Mortimer_Toynbee_(Earth-616)
01996,Wallcrawling,/wiki/Mortimer_Toynbee_(Earth-616)
01997,Zoopathy,/wiki/Mortimer_Toynbee_(Earth-616)
01998,Night Vision,/wiki/Mortimer_Toynbee_(Earth-616)
01999,Wind Breath,/wiki/Mortimer_Toynbee_(Earth-616)
02000,Pheromones,/wiki/Mortimer_Toynbee_(Earth-616)
02001,X-Men (Earth-616)/Members,/wiki/Irma_Cuckoo_(Earth-616)
02002,Mutants (Homo superior),/wiki/Irma_Cuckoo_(Earth-616)
02003,Formerly Deceased,/wiki/Irma_Cuckoo_(Earth-616)
02004,Americans,/wiki/Irma_Cuckoo_(Earth-616)
02005,Phoenix Force,/wiki/Irma_Cuckoo_(Earth-616)
02006,Possession,/wiki/Irma_Cuckoo_(Earth-616)
02007,Astral Projection,/wiki/Irma_Cuckoo_(Earth-616)
02008,Mind Control,/wiki/Irma_Cuckoo_(Earth-616)
02009,Invulnerability,/wiki/Irma_Cuckoo_(Earth-616)
02010,Telepathic Immunity,/wiki/Irma_Cuckoo_(Earth-616)
02011,Midnight Sons (Earth-616)/Members,/wiki/Michael_Morbius_(Earth-616)
02012,Mutates,/wiki/Michael_Morbius_(Earth-616)
02013,Flight,/wiki/Michael_Morbius_(Earth-616)
02014,Hypnosis,/wiki/Michael_Morbius_(Earth-616)
02015,Shapeshifters,/wiki/Michael_Morbius_(Earth-616)
02016,X-Men (Earth-616)/Members,/wiki/Celeste_Cuckoo_(Earth-616)
02017,Mutants (Homo superior),/wiki/Celeste_Cuckoo_(Earth-616)
02018,Formerly Deceased,/wiki/Celeste_Cuckoo_(Earth-616)
02019,Americans,/wiki/Celeste_Cuckoo_(Earth-616)
02020,Phoenix Force,/wiki/Celeste_Cuckoo_(Earth-616)
02021,Possession,/wiki/Celeste_Cuckoo_(Earth-616)
02022,Astral Projection,/wiki/Celeste_Cuckoo_(Earth-616)
02023,Mind Control,/wiki/Celeste_Cuckoo_(Earth-616)
02024,Invulnerability,/wiki/Celeste_Cuckoo_(Earth-616)
02025,Telepathic Immunity,/wiki/Celeste_Cuckoo_(Earth-616)
02026,New Mutants (Earth-616)/Members,/wiki/Hisako_Ichiki_(Earth-616)
02027,X-Men (Earth-616)/Members,/wiki/Hisako_Ichiki_(Earth-616)
02028,Mutants (Homo superior),/wiki/Hisako_Ichiki_(Earth-616)
02029,Americans,/wiki/Hisako_Ichiki_(Earth-616)
02030,Force Field,/wiki/Hisako_Ichiki_(Earth-616)
02031,Annihilators (Earth-616)/Members,/wiki/Kallark_(Earth-616)
02032,Guardians of the Galaxy (Earth-616)/Members,/wiki/Kallark_(Earth-616)
02033,Mutates,/wiki/Kallark_(Earth-616)
02034,Chris Claremont/Creator,/wiki/Kallark_(Earth-616)
02035,Invulnerability,/wiki/Kallark_(Earth-616)
02036,Flight,/wiki/Kallark_(Earth-616)
02037,Captain Universe,/wiki/Kallark_(Earth-616)
02038,Telepathic Immunity,/wiki/Kallark_(Earth-616)
02039,Optic Blasts,/wiki/Kallark_(Earth-616)
02040,Wind Breath,/wiki/Kallark_(Earth-616)
02041,Formerly Deceased,/wiki/Kallark_(Earth-616)
02042,Mutates,/wiki/John_Jonah_Jameson_III_(Earth-616)
02043,Stan Lee/Creator,/wiki/John_Jonah_Jameson_III_(Earth-616)
02044,Steve Ditko/Creator,/wiki/John_Jonah_Jameson_III_(Earth-616)
02045,Americans,/wiki/John_Jonah_Jameson_III_(Earth-616)
02046,Symbiotes-possessed,/wiki/John_Jonah_Jameson_III_(Earth-616)
02047,Alpha Flight (Earth-616)/Members,/wiki/Michael_Twoyoungmen_(Earth-616)
02048,Magicians,/wiki/Michael_Twoyoungmen_(Earth-616)
02049,Chris Claremont/Creator,/wiki/Michael_Twoyoungmen_(Earth-616)
02050,Formerly Deceased,/wiki/Michael_Twoyoungmen_(Earth-616)
02051,Canadians,/wiki/Michael_Twoyoungmen_(Earth-616)
02052,Shapeshifters,/wiki/Michael_Twoyoungmen_(Earth-616)
02053,Astral Projection,/wiki/Michael_Twoyoungmen_(Earth-616)
02054,Atmokinesis,/wiki/Michael_Twoyoungmen_(Earth-616)
02055,Flight,/wiki/Michael_Twoyoungmen_(Earth-616)
02056,Zoopathy,/wiki/Michael_Twoyoungmen_(Earth-616)
02057,X-Men (Earth-616)/Members,/wiki/Shiro_Yoshida_(Earth-616)
02058,Big Hero Six (Earth-616)/Members,/wiki/Shiro_Yoshida_(Earth-616)
02059,Alpha Flight (Earth-616)/Members,/wiki/Shiro_Yoshida_(Earth-616)
02060,Mutants (Homo superior),/wiki/Shiro_Yoshida_(Earth-616)
02061,Formerly Deceased,/wiki/Shiro_Yoshida_(Earth-616)
02062,Americans,/wiki/Shiro_Yoshida_(Earth-616)
02063,Flight,/wiki/Shiro_Yoshida_(Earth-616)
02064,Energy Absorption,/wiki/Shiro_Yoshida_(Earth-616)
02065,Plasma Generation,/wiki/Shiro_Yoshida_(Earth-616)
02066,Energy Form,/wiki/Shiro_Yoshida_(Earth-616)
02067,Flaming Body,/wiki/Shiro_Yoshida_(Earth-616)
02068,X-Men (Earth-616)/Members,/wiki/Paige_Guthrie_(Earth-616)
02069,Mutants (Homo superior),/wiki/Paige_Guthrie_(Earth-616)
02070,Formerly Deceased,/wiki/Paige_Guthrie_(Earth-616)
02071,Americans,/wiki/Paige_Guthrie_(Earth-616)
02072,Shapeshifters,/wiki/Paige_Guthrie_(Earth-616)
02073,Telepathic Immunity,/wiki/Paige_Guthrie_(Earth-616)
02074,Americans,/wiki/Matthew_Masters_(Earth-616)
02075,Equestrianism,/wiki/Matthew_Masters_(Earth-616)
02076,Sinister Six (Earth-616)/Members,/wiki/Quentin_Beck_(Earth-616)
02077,Stan Lee/Creator,/wiki/Quentin_Beck_(Earth-616)
02078,Steve Ditko/Creator,/wiki/Quentin_Beck_(Earth-616)
02079,Formerly Deceased,/wiki/Quentin_Beck_(Earth-616)
02080,Americans,/wiki/Quentin_Beck_(Earth-616)
02081,Symbiotes-possessed,/wiki/Quentin_Beck_(Earth-616)
02082,Hypnosis,/wiki/Quentin_Beck_(Earth-616)
02083,Avengers (Earth-616)/Members,/wiki/Eros_(Earth-616)
02084,Eternals (Homo immortalis),/wiki/Eros_(Earth-616)
02085,Jim Starlin/Creator,/wiki/Eros_(Earth-616)
02086,Formerly Deceased,/wiki/Eros_(Earth-616)
02087,Flight,/wiki/Eros_(Earth-616)
02088,Empaths,/wiki/Eros_(Earth-616)
02089,Excalibur (Earth-616)/Members,/wiki/Gaveedra_Seven_(Mojoverse)
02090,X-Men (Earth-616)/Members,/wiki/Gaveedra_Seven_(Mojoverse)
02091,X-Factor Investigations (Earth-616)/Members,/wiki/Gaveedra_Seven_(Mojoverse)
02092,New Mutants (Earth-616)/Members,/wiki/Gaveedra_Seven_(Mojoverse)
02093,Mutants (Homo superior),/wiki/Gaveedra_Seven_(Mojoverse)
02094,Bisexual Characters,/wiki/Gaveedra_Seven_(Mojoverse)
02095,Characters Displaced to Earth-616,/wiki/Gaveedra_Seven_(Mojoverse)
02096,Defenders (Earth-616)/Members,/wiki/Howard_Duckson_(Earth-791021)
02097,Magicians,/wiki/Howard_Duckson_(Earth-791021)
02098,Armor Users,/wiki/Howard_Duckson_(Earth-791021)
02099,Characters Displaced to Earth-616,/wiki/Howard_Duckson_(Earth-791021)
02100,Phoenix Force,/wiki/Howard_Duckson_(Earth-791021)
02101,Young Avengers (Earth-616)/Members,/wiki/William_Kaplan_(Earth-616)
02102,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/William_Kaplan_(Earth-616)
02103,Magicians,/wiki/William_Kaplan_(Earth-616)
02104,Mutants (Homo superior),/wiki/William_Kaplan_(Earth-616)
02105,Americans,/wiki/William_Kaplan_(Earth-616)
02106,Concussive Blasts,/wiki/William_Kaplan_(Earth-616)
02107,Flight,/wiki/William_Kaplan_(Earth-616)
02108,Force Field,/wiki/William_Kaplan_(Earth-616)
02109,Telekinesis,/wiki/William_Kaplan_(Earth-616)
02110,Twins,/wiki/William_Kaplan_(Earth-616)
02111,Homosexual Characters,/wiki/William_Kaplan_(Earth-616)
02112,Stan Lee/Creator,/wiki/Bentley_Wittman_(Earth-616)
02113,Jack Kirby/Creator,/wiki/Bentley_Wittman_(Earth-616)
02114,Formerly Deceased,/wiki/Bentley_Wittman_(Earth-616)
02115,Americans,/wiki/Bentley_Wittman_(Earth-616)
02116,Magicians,/wiki/Bentley_Wittman_(Earth-616)
02117,Armor Users,/wiki/Bentley_Wittman_(Earth-616)
02118,Symbiotes-possessed,/wiki/Bentley_Wittman_(Earth-616)
02119,Flight,/wiki/Bentley_Wittman_(Earth-616)
02120,Shapeshifters,/wiki/Bentley_Wittman_(Earth-616)
02121,Pet Avengers (Earth-616)/Members,/wiki/Redwing_(Earth-616)
02122,Vampires,/wiki/Redwing_(Earth-616)
02123,Stan Lee/Creator,/wiki/Redwing_(Earth-616)
02124,Pet Avengers (Earth-616)/Members,/wiki/Zabu_(Earth-616)
02125,Stan Lee/Creator,/wiki/Zabu_(Earth-616)
02126,Jack Kirby/Creator,/wiki/Zabu_(Earth-616)
02127,Night Vision,/wiki/Zabu_(Earth-616)
02128,Phoenix Force,/wiki/Zabu_(Earth-616)
02129,Defenders (Earth-616)/Members,/wiki/Kyle_Richmond_(Earth-616)
02130,Thunderbolts (Earth-616)/Members,/wiki/Kyle_Richmond_(Earth-616)
02131,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Kyle_Richmond_(Earth-616)
02132,Mutates,/wiki/Kyle_Richmond_(Earth-616)
02133,Americans,/wiki/Kyle_Richmond_(Earth-616)
02134,Formerly Deceased,/wiki/Kyle_Richmond_(Earth-616)
02135,U.S.Avengers (Earth-616)/Members,/wiki/Doreen_Green_(Earth-616)
02136,Great Lakes Avengers (Earth-616)/Members,/wiki/Doreen_Green_(Earth-616)
02137,Mutates,/wiki/Doreen_Green_(Earth-616)
02138,Steve Ditko/Creator,/wiki/Doreen_Green_(Earth-616)
02139,Americans,/wiki/Doreen_Green_(Earth-616)
02140,Canadians,/wiki/Doreen_Green_(Earth-616)
02141,Zoopathy,/wiki/Doreen_Green_(Earth-616)
02142,Leaping,/wiki/Doreen_Green_(Earth-616)
02143,Empire State University Student,/wiki/Doreen_Green_(Earth-616)
02144,Worthy of Mjolnir,/wiki/Doreen_Green_(Earth-616)
02145,Medium Awareness,/wiki/Doreen_Green_(Earth-616)
02146,Thunderbolts (Red Hulk) (Earth-616)/Members,/wiki/Samuel_Sterns_(Earth-616)
02147,Gamma Ray Exposure,/wiki/Samuel_Sterns_(Earth-616)
02148,Mutates,/wiki/Samuel_Sterns_(Earth-616)
02149,Stan Lee/Creator,/wiki/Samuel_Sterns_(Earth-616)
02150,Steve Ditko/Creator,/wiki/Samuel_Sterns_(Earth-616)
02151,Americans,/wiki/Samuel_Sterns_(Earth-616)
02152,Telekinesis,/wiki/Samuel_Sterns_(Earth-616)
02153,Formerly Deceased,/wiki/Samuel_Sterns_(Earth-616)
02154,Thunderbolts (Earth-616)/Members,/wiki/Erik_Josten_(Earth-616)
02155,Mutates,/wiki/Erik_Josten_(Earth-616)
02156,Stan Lee/Creator,/wiki/Erik_Josten_(Earth-616)
02157,Jack Kirby/Creator,/wiki/Erik_Josten_(Earth-616)
02158,Americans,/wiki/Erik_Josten_(Earth-616)
02159,Mercenaries,/wiki/Erik_Josten_(Earth-616)
02160,Size Alteration,/wiki/Erik_Josten_(Earth-616)
02161,Flight,/wiki/Erik_Josten_(Earth-616)
02162,Energy Absorption,/wiki/Erik_Josten_(Earth-616)
02163,Possession,/wiki/Erik_Josten_(Earth-616)
02164,Chris Claremont/Creator,/wiki/Valerie_Cooper_(Earth-616)
02165,Americans,/wiki/Valerie_Cooper_(Earth-616)
02166,Annihilators (Earth-616)/Members,/wiki/Beta_Ray_Bill_(Earth-616)
02167,Guardians of the Galaxy (Earth-616)/Members,/wiki/Beta_Ray_Bill_(Earth-616)
02168,Thor Corps (Earth-616)/Members,/wiki/Beta_Ray_Bill_(Earth-616)
02169,Flight,/wiki/Beta_Ray_Bill_(Earth-616)
02170,Atmokinesis,/wiki/Beta_Ray_Bill_(Earth-616)
02171,Worthy of Mjolnir,/wiki/Beta_Ray_Bill_(Earth-616)
02172,Thunderbolts (Earth-616)/Members,/wiki/Henry_Gyrich_(Earth-616)
02173,Americans,/wiki/Henry_Gyrich_(Earth-616)
02174,Avengers (Earth-616)/Members,/wiki/Eric_Masterson_(Earth-616)
02175,Thor Corps (Earth-616)/Members,/wiki/Eric_Masterson_(Earth-616)
02176,Secret Defenders (Earth-616)/Members,/wiki/Eric_Masterson_(Earth-616)
02177,Americans,/wiki/Eric_Masterson_(Earth-616)
02178,Worthy of Mjolnir,/wiki/Eric_Masterson_(Earth-616)
02179,Flight,/wiki/Eric_Masterson_(Earth-616)
02180,Concussive Blasts,/wiki/Eric_Masterson_(Earth-616)
02181,Sinister Six (Earth-616)/Members,/wiki/Frederick_Myers_(Earth-616)
02182,Thunderbolts (Earth-616)/Members,/wiki/Frederick_Myers_(Earth-616)
02183,Stan Lee/Creator,/wiki/Frederick_Myers_(Earth-616)
02184,Jack Kirby/Creator,/wiki/Frederick_Myers_(Earth-616)
02185,Americans,/wiki/Frederick_Myers_(Earth-616)
02186,Mutates,/wiki/Herbert_Wyndham_(Earth-616)
02187,Stan Lee/Creator,/wiki/Herbert_Wyndham_(Earth-616)
02188,Jack Kirby/Creator,/wiki/Herbert_Wyndham_(Earth-616)
02189,Astral Projection,/wiki/Herbert_Wyndham_(Earth-616)
02190,Telekinesis,/wiki/Herbert_Wyndham_(Earth-616)
02191,Telepathic Immunity,/wiki/Herbert_Wyndham_(Earth-616)
02192,Flight,/wiki/Herbert_Wyndham_(Earth-616)
02193,Force Field,/wiki/Herbert_Wyndham_(Earth-616)
02194,Cosmic Awareness,/wiki/Herbert_Wyndham_(Earth-616)
02195,Zoopathy,/wiki/Herbert_Wyndham_(Earth-616)
02196,Size Alteration,/wiki/Herbert_Wyndham_(Earth-616)
02197,Armor Users,/wiki/Herbert_Wyndham_(Earth-616)
02198,Formerly Deceased,/wiki/Herbert_Wyndham_(Earth-616)
02199,Stan Lee/Creator,/wiki/Hela_(Earth-616)
02200,Jack Kirby/Creator,/wiki/Hela_(Earth-616)
02201,Magicians,/wiki/Hela_(Earth-616)
02202,Astral Projection,/wiki/Hela_(Earth-616)
02203,Telekinesis,/wiki/Hela_(Earth-616)
02204,Midnight Sons (Earth-616)/Members,/wiki/Jack_Russell_(Earth-616)
02205,Americans,/wiki/Jack_Russell_(Earth-616)
02206,Superhuman Smelling,/wiki/Jack_Russell_(Earth-616)
02207,Night Vision,/wiki/Jack_Russell_(Earth-616)
02208,Leaping,/wiki/Jack_Russell_(Earth-616)
02209,Formerly Deceased,/wiki/Jack_Russell_(Earth-616)
02210,Jack Kirby/Creator,/wiki/Adolf_Hitler_(Earth-616)
02211,Historical Figures,/wiki/Adolf_Hitler_(Earth-616)
02212,Young Avengers (Earth-616)/Members,/wiki/Theodore_Altman_(Earth-616)
02213,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Theodore_Altman_(Earth-616)
02214,Kree,/wiki/Theodore_Altman_(Earth-616)
02215,Americans,/wiki/Theodore_Altman_(Earth-616)
02216,Homosexual Characters,/wiki/Theodore_Altman_(Earth-616)
02217,Shapeshifters,/wiki/Theodore_Altman_(Earth-616)
02218,Flight,/wiki/Theodore_Altman_(Earth-616)
02219,Formerly Deceased,/wiki/Antonio_Stark_(Earth-1610)
02220,Americans,/wiki/Antonio_Stark_(Earth-1610)
02221,Armor Users,/wiki/Antonio_Stark_(Earth-1610)
02222,Flight,/wiki/Antonio_Stark_(Earth-1610)
02223,Twins,/wiki/Antonio_Stark_(Earth-1610)
02224,Characters Displaced to Earth-616,/wiki/Antonio_Stark_(Earth-1610)
02225,Stan Lee/Creator,/wiki/Donald_Blake_(Earth-616)
02226,Jack Kirby/Creator,/wiki/Donald_Blake_(Earth-616)
02227,Americans,/wiki/Donald_Blake_(Earth-616)
02228,Worthy of Mjolnir,/wiki/Donald_Blake_(Earth-616)
02229,Magicians,/wiki/Donald_Blake_(Earth-616)
02230,Armor Users,/wiki/Donald_Blake_(Earth-616)
02231,Symbiotes-possessed,/wiki/Donald_Blake_(Earth-616)
02232,Stan Lee/Creator,/wiki/Harvey_Elder_(Earth-616)
02233,Jack Kirby/Creator,/wiki/Harvey_Elder_(Earth-616)
02234,Americans,/wiki/Harvey_Elder_(Earth-616)
02235,Order of the Web (Earth-616)/Members,/wiki/Gwendolyn_Stacy_(Earth-65)
02236,Mutates,/wiki/Gwendolyn_Stacy_(Earth-65)
02237,Americans,/wiki/Gwendolyn_Stacy_(Earth-65)
02238,Wallcrawling,/wiki/Gwendolyn_Stacy_(Earth-65)
02239,Web-Slinging,/wiki/Gwendolyn_Stacy_(Earth-65)
02240,Symbiotes-possessed,/wiki/Gwendolyn_Stacy_(Earth-65)
02241,Empire State University Student,/wiki/Gwendolyn_Stacy_(Earth-65)
02242,Characters Displaced to Earth-616,/wiki/Gwendolyn_Stacy_(Earth-65)
02243,Worthy of Mjolnir,/wiki/Gwendolyn_Stacy_(Earth-65)
02244,Mutates,/wiki/Alexander_Power_(Earth-616)
02245,Americans,/wiki/Alexander_Power_(Earth-616)
02246,Mutates,/wiki/Robert_Baxter_(Earth-616)
02247,Americans,/wiki/Robert_Baxter_(Earth-616)
02248,Mercenaries,/wiki/Robert_Baxter_(Earth-616)
02249,Superhuman Smelling,/wiki/Robert_Baxter_(Earth-616)
02250,Young Avengers (Earth-616)/Members,/wiki/Cassandra_Lang_(Earth-616)
02251,Secret Avengers (Civil War) (Earth-616)/Members,/wiki/Cassandra_Lang_(Earth-616)
02252,Mutates,/wiki/Cassandra_Lang_(Earth-616)
02253,Formerly Deceased,/wiki/Cassandra_Lang_(Earth-616)
02254,Americans,/wiki/Cassandra_Lang_(Earth-616)
02255,Size Alteration,/wiki/Cassandra_Lang_(Earth-616)
02256,Thunderbolts (Earth-616)/Members,/wiki/Herman_Schultz_(Earth-616)
02257,Sinister Six (Earth-616)/Members,/wiki/Herman_Schultz_(Earth-616)
02258,Stan Lee/Creator,/wiki/Herman_Schultz_(Earth-616)
02259,Americans,/wiki/Herman_Schultz_(Earth-616)
02260,Armor Users,/wiki/Herman_Schultz_(Earth-616)
02261,Mutates,/wiki/Eliot_Franklin_(Thunderball)_(Earth-616)
02262,Americans,/wiki/Eliot_Franklin_(Thunderball)_(Earth-616)
02263,Bulletproof,/wiki/Eliot_Franklin_(Thunderball)_(Earth-616)
02264,X-Men (Earth-616)/Members,/wiki/Longshot_(Mojoverse)
02265,X-Factor Investigations (Earth-616)/Members,/wiki/Longshot_(Mojoverse)
02266,Formerly Deceased,/wiki/Longshot_(Mojoverse)
02267,Characters Displaced to Earth-616,/wiki/Longshot_(Mojoverse)
02268,Thunderbolts (Earth-616)/Members,/wiki/Yuriko_Oyama_(Earth-616)
02269,Formerly Deceased,/wiki/Yuriko_Oyama_(Earth-616)
02270,Hydra (Earth-616)/Members,/wiki/Wolfgang_von_Strucker_(Earth-616)
02271,Mutates,/wiki/Wolfgang_von_Strucker_(Earth-616)
02272,Stan Lee/Creator,/wiki/Wolfgang_von_Strucker_(Earth-616)
02273,Jack Kirby/Creator,/wiki/Wolfgang_von_Strucker_(Earth-616)
02274,Pheromones,/wiki/Wolfgang_von_Strucker_(Earth-616)
02275,Americans,/wiki/Dwayne_Taylor_(Earth-616)
02276,Telepathic Immunity,/wiki/Dwayne_Taylor_(Earth-616)
02277,Mutates,/wiki/Shuri_(Earth-616)
02278,Formerly Deceased,/wiki/Shuri_(Earth-616)
02279,Ebony Blade User,/wiki/Shuri_(Earth-616)
02280,Empaths,/wiki/Shuri_(Earth-616)
02281,Size Alteration,/wiki/Shuri_(Earth-616)
02282,Sinister Six (Earth-616)/Members,/wiki/Hammerhead_(Joseph)_(Earth-616)
02283,Americans,/wiki/Hammerhead_(Joseph)_(Earth-616)
02284,Formerly Deceased,/wiki/Hammerhead_(Joseph)_(Earth-616)
02285,Symbiotes-possessed,/wiki/Hammerhead_(Joseph)_(Earth-616)
02286,X-Men (Earth-616)/Members,/wiki/Madison_Jeffries_(Earth-616)
02287,Alpha Flight (Earth-616)/Members,/wiki/Madison_Jeffries_(Earth-616)
02288,Weapon X (Earth-616)/Members,/wiki/Madison_Jeffries_(Earth-616)
02289,Mutants (Homo superior),/wiki/Madison_Jeffries_(Earth-616)
02290,Canadians,/wiki/Madison_Jeffries_(Earth-616)
02291,Armor Users,/wiki/Madison_Jeffries_(Earth-616)
02292,Telekinesis,/wiki/Madison_Jeffries_(Earth-616)
02293,Empaths,/wiki/Madison_Jeffries_(Earth-616)
02294,Possession,/wiki/Madison_Jeffries_(Earth-616)
02295,X-Men (Earth-616)/Members,/wiki/Julian_Keller_(Earth-616)
02296,Mutants (Homo superior),/wiki/Julian_Keller_(Earth-616)
02297,Formerly Deceased,/wiki/Julian_Keller_(Earth-616)
02298,Americans,/wiki/Julian_Keller_(Earth-616)
02299,Telekinesis,/wiki/Julian_Keller_(Earth-616)
02300,Flight,/wiki/Julian_Keller_(Earth-616)
02301,Concussive Blasts,/wiki/Julian_Keller_(Earth-616)
02302,Force Field,/wiki/Julian_Keller_(Earth-616)
02303,Thunderbolts (Earth-616)/Members,/wiki/Calvin_Zabo_(Earth-616)
02304,Mutates,/wiki/Calvin_Zabo_(Earth-616)
02305,Stan Lee/Creator,/wiki/Calvin_Zabo_(Earth-616)
02306,Americans,/wiki/Calvin_Zabo_(Earth-616)
02307,Mutates,/wiki/Brian_Calusky_(Earth-616)
02308,Americans,/wiki/Brian_Calusky_(Earth-616)
02309,Mercenaries,/wiki/Brian_Calusky_(Earth-616)
02310,Bulletproof,/wiki/Brian_Calusky_(Earth-616)
02311,Magicians,/wiki/Dormammu_(Earth-616)
02312,Stan Lee/Creator,/wiki/Dormammu_(Earth-616)
02313,Steve Ditko/Creator,/wiki/Dormammu_(Earth-616)
02314,Flaming Body,/wiki/Dormammu_(Earth-616)
02315,Twins,/wiki/Dormammu_(Earth-616)
02316,Astral Projection,/wiki/Dormammu_(Earth-616)
02317,Telekinesis,/wiki/Dormammu_(Earth-616)
02318,Energy Absorption,/wiki/Dormammu_(Earth-616)
02319,Size Alteration,/wiki/Dormammu_(Earth-616)
02320,Energy Form,/wiki/Dormammu_(Earth-616)
02321,Possession,/wiki/Dormammu_(Earth-616)
02322,Stan Lee/Creator,/wiki/Jonathan_Clay_(Earth-616)
02323,Jack Kirby/Creator,/wiki/Jonathan_Clay_(Earth-616)
02324,Americans,/wiki/Jonathan_Clay_(Earth-616)
02325,Equestrianism,/wiki/Jonathan_Clay_(Earth-616)
02326,Homosexual Characters,/wiki/Jonathan_Clay_(Earth-616)
02327,Americans,/wiki/Colleen_Wing_(Earth-616)
02328,Chi Manipulation,/wiki/Colleen_Wing_(Earth-616)
02329,Guardians of the Galaxy (Earth-616)/Members,/wiki/Mantis_(Brandt)_(Earth-616)
02330,Avengers (Earth-616)/Members,/wiki/Mantis_(Brandt)_(Earth-616)
02331,Mutates,/wiki/Mantis_(Brandt)_(Earth-616)
02332,Formerly Deceased,/wiki/Mantis_(Brandt)_(Earth-616)
02333,Empaths,/wiki/Mantis_(Brandt)_(Earth-616)
02334,Astral Projection,/wiki/Mantis_(Brandt)_(Earth-616)
02335,Invaders (Earth-616)/Members,"/wiki/Nicholas_Fury,_Jr._(Earth-616)"
02336,Secret Avengers (S.H.I.E.L.D.) (Earth-616)/Members,"/wiki/Nicholas_Fury,_Jr._(Earth-616)"
02337,Mutates,"/wiki/Nicholas_Fury,_Jr._(Earth-616)"
02338,Americans,"/wiki/Nicholas_Fury,_Jr._(Earth-616)"
02339,X-Men (Earth-616)/Members,/wiki/James_Bradley_(Earth-616)
02340,Mutants (Homo superior),/wiki/James_Bradley_(Earth-616)
02341,Formerly Deceased,/wiki/James_Bradley_(Earth-616)
02342,Americans,/wiki/James_Bradley_(Earth-616)
02343,Formerly Deceased,/wiki/Carnage_(Symbiote)_(Earth-616)
02344,Shapeshifters,/wiki/Carnage_(Symbiote)_(Earth-616)
02345,Empaths,/wiki/Carnage_(Symbiote)_(Earth-616)
02346,Alpha Flight (Earth-616)/Members,/wiki/James_Hudson_(Earth-616)
02347,Chris Claremont/Creator,/wiki/James_Hudson_(Earth-616)
02348,Formerly Deceased,/wiki/James_Hudson_(Earth-616)
02349,Canadians,/wiki/James_Hudson_(Earth-616)
02350,Flight,/wiki/James_Hudson_(Earth-616)
02351,Force Field,/wiki/James_Hudson_(Earth-616)
02352,Armor Users,/wiki/James_Hudson_(Earth-616)
02353,Concussive Blasts,/wiki/James_Hudson_(Earth-616)
02354,Stan Lee/Creator,/wiki/Nightmare_(Earth-616)
02355,Steve Ditko/Creator,/wiki/Nightmare_(Earth-616)
02356,Formerly Deceased,/wiki/Nightmare_(Earth-616)
02357,Shapeshifters,/wiki/Nightmare_(Earth-616)
02358,Magicians,/wiki/Nightmare_(Earth-616)
02359,Medium Awareness,/wiki/Nightmare_(Earth-616)
02360,Possession,/wiki/Nightmare_(Earth-616)
